order_id,order_date,sales_date,order_amount,order_status,order_deleted,contract_id,product_id
1,2020-11-08,2020-11-21,7,activated,False,616,95
2,2020-01-20,2020-01-30,3,activated,False,3526,3
3,2020-02-23,2020-03-03,7,draft,False,4999,85
4,2020-07-17,2020-08-14,6,activated,False,228,45
5,2020-02-25,2020-03-03,5,activated,False,363,38
6,2020-05-07,2020-06-06,10,activated,False,3540,73
7,2020-03-29,2020-04-19,8,activated,False,3128,87
8,2020-10-13,2020-10-27,6,completed,False,4807,78
9,2020-05-23,2020-06-20,6,activated,False,2611,74
10,2020-11-29,2020-12-10,2,activated,False,103,68
11,2020-05-20,2020-06-11,8,activated,False,4948,46
12,2020-06-29,2020-07-10,7,activated,False,44,58
13,2020-09-14,2020-09-23,7,activated,False,3780,49
14,2020-11-17,2020-12-02,8,activated,False,4442,9
15,2020-05-25,2020-06-23,5,activated,False,1264,67
16,2020-12-24,2021-01-21,10,activated,False,3622,80
17,2020-03-12,2020-04-06,2,activated,False,2884,86
18,2020-09-19,2020-10-10,6,activated,False,3762,26
19,2020-08-26,2020-09-11,9,activated,False,3763,29
20,2020-03-08,2020-03-30,9,activated,False,2686,92
21,2020-06-17,2020-07-10,2,activated,False,4612,23
22,2020-03-30,2020-04-22,6,completed,False,2423,43
23,2020-10-27,2020-11-13,2,activated,False,4588,20
24,2020-11-13,2020-12-02,2,completed,False,595,64
25,2020-05-28,2020-06-20,8,activated,False,3803,88
26,2020-11-30,2020-12-07,9,activated,False,1859,13
27,2020-09-20,2020-09-28,3,activated,False,849,14
28,2020-02-29,2020-03-28,3,activated,False,1766,46
29,2020-08-21,2020-09-15,6,activated,False,122,31
30,2020-09-10,2020-10-08,1,activated,False,1920,97
31,2020-10-11,2020-10-28,8,activated,False,2464,33
32,2020-01-08,2020-01-19,5,draft,False,3787,42
33,2020-06-04,2020-06-30,8,completed,False,1530,18
34,2020-08-23,2020-09-07,1,activated,False,842,15
35,2020-07-05,2020-07-06,10,activated,False,3709,61
36,2020-04-04,2020-05-01,1,draft,False,3107,15
37,2020-05-28,2020-06-06,9,activated,False,880,85
38,2020-08-29,2020-09-19,9,activated,False,4976,60
39,2020-02-17,2020-03-06,6,activated,False,2893,84
40,2020-01-21,2020-02-12,3,activated,False,1047,73
41,2020-10-20,2020-11-07,9,completed,False,3594,45
42,2020-10-18,2020-11-06,6,cancelled,False,3006,30
