product_id,product_name,fixed_price,dealer_price,cost_price,product_condition,product_description,product_family
1,Purpose,469.8,516.78,563.76,out_of_stock,Reduce raise author play move each left establish understand.,Clothing
2,Brother,439.43,483.37,527.32,available,Detail food shoulder argue start source husband at tree note responsibility defense material.,Electronics
3,Ago,87.05,95.76,104.46,out_of_stock,Central cause seat much section investment on gun young catch management.,Home
4,Site,262.7,288.97,315.24,discontinued,Technology check civil quite others his.,Beauty
5,Face,133.82,147.2,160.58,out_of_stock,You more wife team activity result race Mr environment political born itself law.,Home
6,Election,352.83,388.11,423.4,available,Will seven medical blood personal success medical current hear.,Electronics
7,Dog,294.34,323.77,353.21,out_of_stock,Much single morning a food affect upon these.,Home
8,Chair,28.19,31.01,33.83,out_of_stock,Dream drive note bad rule staff within mouth call.,Beauty
9,Since,395.28,434.81,474.34,discontinued,Water close month parent who up sense ready require human public health.,Clothing
10,Blue,335.16,368.68,402.19,out_of_stock,Later easy ask again network open according remain arrive attack all form.,Sports
11,Require,173.77,191.15,208.52,discontinued,Draw protect Democrat car very number line six space couple best issue.,Beauty
12,Sit,336.94,370.63,404.33,discontinued,In tell approach president position art rock song body court movie.,Beauty
13,Wait,260.69,286.76,312.83,discontinued,Instead everything economic type kitchen technology nearly.,Beauty
14,Offer,363.32,399.65,435.98,out_of_stock,Present music address behavior send door.,Beauty
15,Begin,78.56,86.42,94.27,available,Magazine degree husband around her world enter six lawyer institution whatever.,Electronics
16,Performance,448.32,493.15,537.98,available,Product main couple design around save article finish anyone live try most arm.,Beauty
17,Knowledge,157.38,173.12,188.86,out_of_stock,Bag control organization push dog build three east organization people information on.,Home
18,Almost,294.08,323.49,352.9,available,First end prove fire enter capital population lead upon very act perform.,Electronics
19,All,254.5,279.95,305.4,available,You available defense enter value thing these hard citizen street region particularly would.,Clothing
20,Better,467.26,513.99,560.71,out_of_stock,Account stage federal professional voice care break blood network evening painting response.,Home
21,Discover,415.25,456.78,498.3,available,Reach table measure economy traditional anything plant stop.,Home
22,Early,42.69,46.96,51.23,available,About side PM energy scientist necessary.,Home
23,Mouth,156.08,171.69,187.3,out_of_stock,Night born war real chance along hard need involve among half.,Home
24,Play,18.62,20.48,22.34,discontinued,Together decide economic bill sister this.,Electronics
25,Agreement,342.85,377.14,411.42,discontinued,Wind see understand door class son computer include conference under site.,Clothing
26,Option,423.62,465.98,508.34,discontinued,Soon ten specific environment skin blue the teach develop staff least.,Clothing
27,Decide,430.76,473.84,516.91,discontinued,Star the development process huge everything attorney significant go.,Beauty
28,Sense,186.56,205.22,223.87,out_of_stock,Hundred wonder movie voice boy wife condition while enter board its rock.,Sports
29,Rate,363.0,399.3,435.6,discontinued,Job worker break tonight couple and job mind southern rather.,Electronics
30,Science,344.99,379.49,413.99,discontinued,Hair attorney professional form finish summer rest feel.,Clothing
31,Offer,159.3,175.23,191.16,discontinued,Project for recent never court professor here security community.,Electronics
32,Kind,204.62,225.08,245.54,out_of_stock,Feeling nature a expert involve oil pressure let kind degree list top somebody.,Electronics
33,Discussion,85.25,93.78,102.3,available,Probably exist professional people behavior weight dog financial.,Beauty
34,List,67.8,74.58,81.36,out_of_stock,Challenge animal worker particularly shoulder lay though offer.,Clothing
35,Perform,174.06,191.47,208.87,out_of_stock,Manager during prevent accept seem show blood interesting compare when.,Sports
36,Fall,82.08,90.29,98.5,available,Let newspaper true building card let most next fish sense kind spring.,Sports
37,Table,166.53,183.18,199.84,out_of_stock,Interview trade knowledge city technology late seem style everyone sing machine dream.,Sports
38,True,91.51,100.66,109.81,discontinued,Back experience even floor music catch discuss really relationship ask imagine.,Home
39,According,350.19,385.21,420.23,discontinued,Letter artist strategy hope show watch affect thing offer local wall fear.,Clothing
40,Song,419.69,461.66,503.63,discontinued,Table well industry section national owner determine detail job ahead.,Home
41,Sure,281.0,309.1,337.2,available,Protect something right subject try wonder move trade option production.,Home
42,Collection,334.67,368.14,401.6,discontinued,Poor career left anyone here deep force.,Home
43,Save,121.93,134.12,146.32,discontinued,Everything week instead strong like see appear weight difference attention.,Beauty
44,Knowledge,103.26,113.59,123.91,discontinued,Senior wear current after charge call.,Beauty
45,Grow,107.48,118.23,128.98,available,Nor design record short cold parent security.,Electronics
